"X1772066100_D04" "X1772063062_G01" "X1772060224_F07" "X1772071035_G09" "X1772067066_E12" "X1772066100_B01" "X1772067096_G10" "X1772071017_B11" "X1772062109_A07" "X1772067065_F11" "X1772066100_G07" "X1772067073_C01" "X1772066098_D07" "X1772066070_H10" "X1772067093_A10" "X1772071044_C01" "X1772066070_A11" "X1772066076_A11" "X1772071017_A09" "X1772063078_C07" "X1772063078_B07" "X1772062116_E08" "X1772060225_A07" "X1772058171_G01" "X1772067059_A07" "X1772067074_D04" "X1772067065_H06" "X1772062115_E07" "X1772060225_D09" "X1772066098_C02" "X1772066073_E09" "X1772067096_A01" "X1772066080_A04" "X1772066100_A05" "X1772071035_G06" "X1772066102_B06" "X1772071036_E06" "X1772063077_D02" "X1772071017_B01" "X1772071017_A10" "X1772062115_G12" "X1772067073_H07" "X1772066096_C05" "X1772071044_H10" "X1772063074_A01" "X1772058171_F05" "X1772067083_G04" "X1772071035_E06" "X1772067058_C04" "X1772062116_B01" "X1772067082_F08" "X1772071017_B03" "X1772063068_D06" "X1772067058_C05" "X1772067073_E04" "X1772063074_G10" "X1772071044_F10" "X1772062128_C04" "X1772071041_E05" "X1772066102_F06" "X1772066076_F11" "X1772071044_A03" "X1772067059_E12" "X1772066108_E06" "X1772067058_E08" "X1772063061_B03" "X1772067065_F07" "X1772063068_G06" "X1772066076_A07" "X1772066099_C12" "X1772067065_E07" "X1772067094_C07" "X1772066107_H06" "X1772062114_H12" "X1772067094_H11" "X1772062114_H10" "X1772071014_D03" "X1772067066_C06" "X1772067073_E11" "X1772062113_C09" "X1772067093_H07" "X1772066101_F04" "X1772062111_G03" "X1772067057_B09" "X1772067059_H04" "X1772066101_E12" "X1772062113_G01" "X1772067057_G05" "X1772071045_H03" "X1772066095_G03" "X1772066098_A01" "X1772067058_B03" "X1772060240_C04" "X1772066096_B07" "X1772067064_E04" "X1772067070_H09" "X1772063071_H02" "X1772062111_D11" "X1772066098_B12" "X1772071014_E05" "X1772067083_F08" "X1772063079_C12" "X1772066100_E09" "X1772062109_H02" "X1772066074_C08" "X1772060226_D12" "X1772062118_F04" "X1772063061_G08" "X1772058148_H08" "X1772067059_H12" "X1772066102_G12" "X1772060226_H02" "X1772066108_D06" "X1772063074_C12" "X1772062128_E08" "X1772066070_H05" "X1772066102_A09" "X1772067082_A01" "X1772071036_C12" "X1772066100_D08" "X1772060225_D07" "X1772063062_C11" "X1772066103_C03" "X1772062114_B09" "X1772066107_B12" "X1772071015_D06" "X1772071017_A06" "X1772066097_C11" "X1772066070_F04" "X1772066101_G05" "X1772062128_A07" "X1772067057_H06" "X1772060226_F12" "X1772063078_C08" "X1772066099_H05" "X1772066101_D08" "X1772062116_C11" "X1772071035_G04" "X1772063078_H04" "X1772067059_E06" "X1772060225_C02" "X1772062115_D05" "X1772058171_B09" "X1772066077_G12" "X1772060226_B03" "X1772060226_C07" "X1772066073_F08" "X1772063071_B11" "X1772062128_G11" "X1772067076_F05" "X1772067066_E10" "X1772063063_G08" "X1772066101_H08" "X1772067083_H04" "X1772063064_E06" "X1772067076_A06" "X1772066099_E06" "X1772067058_H10" "X1772071036_A09" "X1772071036_A06" "X1772071045_H07" "X1772062116_E02" "X1772067070_C04" "X1772067054_G12" "X1772063071_H07" "X1772066099_H03" "X1772062111_G01" "X1772067083_B12" "X1772067059_B06" "X1772062118_B03" "X1772062113_C03" "X1772067058_H08" "X1772062116_G09" "X1772066098_C05" "X1772067059_G12" "X1772062128_F05" "X1772067065_F10" "X1772067082_H03" "X1772062115_B06" "X1772063065_F12" "X1772066099_B06" "X1772060224_A01" "X1772066074_C01" "X1772071040_H06" "X1772066102_B05" "X1772066098_B02" "X1772071035_F05" "X1772067069_C11" "X1772067082_D07" "X1772071045_E10" "X1772067058_H05" "X1772063074_G12" "X1772067094_A02" "X1772066077_C12" "X1772062118_D02" "X1772067064_B10" "X1772066098_B06" "X1772060240_D05" "X1772062118_A11" "X1772062128_F01"
"S100b" 0 20 0 0 0 0 1 0 32 0 0 0 7 0 0 2 0 39 0 15 15 25 0 1 0 0 0 0 0 14 0 0 14 0 0 0 6 11 0 0 1 2 1 0 0 5 0 0 1 13 0 0 13 0 3 1 3 0 1 0 8 0 0 1 3 2 0 7 0 0 0 0 0 14 0 12 0 2 0 2 0 0 0 1 1 0 22 0 0 0 1 0 20 0 0 4 4 43 7 0 0 0 0 3 0 1 0 53 0 0 0 0 20 38 1 0 0 2 0 1 0 3 0 25 1 0 0 1 0 5 0 0 1 4 0 3 27 0 66 0 2 15 0 0 0 0 0 10 1 0 0 9 0 0 1 1 0 0 1 0 0 20 0 0 2 0 17 0 0 9 13 0 0 0 0 1 0 0 11 0 0 0 0 2 0 0 0 2 0 0 0 22 0 0 0 0 14 3 0 1
"Add3" 0 0 0 5 0 3 2 4 4 3 0 0 3 3 0 2 3 4 1 0 0 1 0 2 3 0 3 0 0 5 1 0 5 0 5 2 4 0 1 1 0 1 0 2 0 0 1 7 0 1 5 2 2 0 3 0 2 0 0 2 1 2 3 1 7 3 5 0 0 0 1 0 6 0 3 0 3 2 3 0 0 0 1 0 4 0 1 6 0 0 0 1 3 5 4 0 1 0 0 4 0 0 1 0 7 0 0 0 1 3 3 2 1 0 0 1 5 1 2 2 0 1 0 0 0 6 9 1 2 1 0 1 0 0 3 0 1 0 1 1 1 1 0 4 0 0 0 2 2 0 0 4 0 1 1 10 4 1 2 1 5 0 1 0 2 1 0 1 1 1 0 0 0 1 2 1 1 0 0 1 3 0 1 0 1 1 1 2 0 2 5 2 3 1 2 1 2 0 0 2
"Sorbs1" 1 0 0 4 0 1 3 8 0 8 1 1 1 1 1 0 1 0 14 0 0 0 0 0 1 0 17 0 0 1 4 8 2 1 0 1 0 0 4 6 0 0 1 6 0 0 0 1 0 0 0 1 0 1 0 0 2 0 0 0 0 2 2 0 3 0 18 0 0 6 7 0 6 0 13 0 7 0 1 0 2 3 0 1 2 0 0 2 4 0 3 0 4 1 1 0 0 0 4 7 2 0 0 0 1 0 0 0 2 2 2 0 0 0 0 3 1 2 1 3 0 0 0 0 0 6 12 2 1 2 0 0 1 0 0 0 0 2 0 0 0 0 0 3 0 0 2 0 0 0 6 1 0 1 0 2 0 0 1 1 6 0 0 0 0 1 0 3 10 0 0 0 0 0 1 0 1 8 0 0 3 1 0 0 4 2 5 0 6 1 1 0 0 1 0 0 4 0 0 0
"Ccl7" 0 0 38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 83 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0
"Cst3" 10 3 42 9 0 3 60 10 7 13 35 3 148 2 0 56 5 194 11 5 0 4 0 0 0 47 10 1 0 184 7 16 5 34 7 8 421 2 16 11 1 175 3 19 0 1 2 12 13 113 1 2 94 6 72 0 5 44 0 3 0 12 14 19 54 7 10 2 71 24 15 12 8 0 4 1 14 77 3 0 21 68 6 12 8 1 6 18 6 2 219 18 10 2 6 0 205 1 160 11 36 3 3 5 5 0 22 4 5 6 121 24 2 1 15 5 2 7 17 21 1 42 2 1 4 10 6 4 6 159 32 5 3 19 16 2 1 14 1 2 2 0 3 5 0 1 2 263 0 11 24 123 2 24 6 15 17 5 14 3 8 2 118 104 166 9 0 21 19 2 12 2 16 1 3 300 8 4 1 1 15 1 4 0 8 5 4 217 13 4 70 0 10 16 5 0 211 72 37 143
"Ccl3" 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 101 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0
"Sepp1" 0 16 52 0 10 0 2 0 28 0 0 0 12 0 0 6 0 10 0 6 8 35 0 0 0 60 0 0 11 17 0 0 7 0 0 0 12 39 0 0 0 1 0 0 1 0 0 0 19 13 0 0 6 0 1 3 0 2 5 0 14 0 0 0 6 0 0 9 54 1 0 13 0 5 0 9 0 11 0 1 0 0 0 34 0 0 1 0 0 0 11 2 12 0 0 1 2 16 7 0 0 3 0 0 0 2 33 17 1 0 0 26 26 26 1 1 0 0 0 0 0 8 0 14 0 0 0 1 0 5 16 0 19 7 0 0 21 0 19 0 0 19 0 0 0 0 0 2 0 0 0 9 0 0 2 0 8 0 0 0 0 20 2 1 7 0 9 0 0 15 0 0 31 0 0 2 0 0 4 0 0 8 0 5 0 0 0 8 0 0 0 22 0 0 15 1 11 7 87 3
"B2m" 0 2 15 1 0 3 0 0 0 0 0 0 0 0 0 0 1 5 0 1 1 1 0 3 1 10 1 0 1 3 0 0 0 0 1 0 3 0 0 0 1 0 1 0 0 0 1 3 5 3 0 0 2 3 2 0 0 0 0 1 3 0 0 0 0 0 0 0 17 2 5 5 0 2 0 0 0 0 1 0 0 0 0 8 0 0 1 3 0 0 0 0 0 2 0 0 1 1 1 0 0 0 0 0 1 0 8 0 0 1 0 9 6 0 2 1 0 0 2 0 1 1 2 0 1 5 0 1 2 0 1 0 12 0 0 0 0 0 2 0 0 2 0 0 1 1 1 0 0 3 0 1 0 0 0 1 3 0 3 0 0 0 5 0 0 1 0 0 0 0 3 0 8 1 0 4 0 1 2 2 0 0 1 0 3 0 1 4 4 1 0 1 0 3 0 0 1 1 18 0
"Ubash3b" 0 0 0 0 4 0 0 9 1 9 15 3 0 0 1 0 0 1 14 0 0 0 0 0 0 4 8 0 0 0 1 0 0 4 0 0 0 0 5 4 0 0 0 16 0 0 5 2 0 0 0 10 0 0 1 0 0 0 0 0 1 2 0 3 0 3 6 0 0 5 6 0 0 0 0 0 1 0 0 0 1 17 1 0 3 0 0 0 13 0 0 0 3 0 11 0 0 0 0 11 12 0 0 0 1 1 0 0 2 0 11 0 0 0 0 1 0 0 0 5 0 0 1 0 0 3 2 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 8 0 1 0 0 9 0 0 0 0 0 0 0 0 0 0 0 3 1 0 7 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 9 1 0 1 0 0 0 0 0 0
"Cntnap2" 4 0 0 5 0 0 1 6 0 3 5 1 0 2 1 0 1 0 7 0 0 0 0 0 1 0 8 0 0 0 2 5 3 2 0 1 0 0 12 6 0 0 2 5 0 0 1 10 0 0 0 7 0 2 0 0 1 0 0 1 0 1 1 2 0 5 6 0 0 7 10 0 3 0 2 0 4 0 0 0 3 19 2 0 9 0 0 2 8 1 0 0 10 8 11 0 1 0 0 8 11 0 0 0 3 0 0 0 9 4 17 0 0 0 0 1 3 2 7 4 0 0 0 0 1 9 3 2 3 0 0 3 0 0 2 1 0 0 0 4 0 0 0 1 0 0 2 0 0 1 1 0 0 1 0 9 1 2 2 2 4 0 0 0 0 0 0 5 2 0 1 0 0 0 6 0 2 2 0 0 1 0 1 0 1 1 0 0 3 1 15 0 1 3 0 0 2 0 0 0
"Elmo1" 0 0 0 0 0 0 0 7 0 2 9 0 0 0 0 0 0 2 1 0 0 0 0 1 1 0 0 0 1 0 1 3 0 3 0 1 0 0 1 5 0 0 0 10 0 0 1 1 0 0 0 8 0 0 0 1 0 0 0 0 1 0 0 3 0 3 0 0 2 1 2 0 1 0 0 1 9 0 1 0 1 16 1 0 1 0 0 0 3 0 0 0 5 0 3 0 0 0 0 0 9 0 0 2 0 1 0 0 1 0 11 2 0 0 0 0 0 0 0 1 0 0 0 1 1 1 2 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 2 0 0 1 0 7 0 0 3 0 0 1 0 0 0 0 1 12 1 0 1 0 0 0 1 2 2 1 2 0 1 0 0 0 0 0 0 0 0 0 9 1 0 0 0 0 0 0 0 1
"Arl4c" 0 0 0 0 0 0 0 8 0 12 2 0 0 0 0 0 0 0 10 0 0 0 0 0 0 2 9 0 0 0 5 0 0 4 0 2 0 0 6 5 0 0 0 10 0 0 2 0 0 0 0 15 0 0 0 0 0 0 0 0 0 1 0 10 0 1 8 0 0 1 7 0 0 0 0 0 22 0 0 0 7 16 2 0 0 0 0 0 7 0 0 0 4 0 24 0 0 0 0 6 8 0 0 0 0 0 0 0 5 0 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 4 12 0 0 0 10 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 13 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 6 11 0 2 0 0 0 0 0 7 3 0 0 0 0 0 0 0 0 0 0 6 0 15 0 0 1 0 0 0 0 0 0
"Igf1" 3 1 3 0 0 0 0 3 0 5 9 3 0 0 0 0 0 0 7 0 0 0 0 0 0 6 24 0 0 0 1 5 0 11 0 1 0 0 3 4 0 0 0 28 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 0 3 0 0 0 7 2 0 1 12 10 2 0 0 1 0 1 0 0 0 0 15 0 9 0 0 0 0 8 0 0 0 4 0 3 0 0 0 0 2 4 0 0 0 0 0 0 0 8 0 20 0 0 0 0 0 0 0 0 8 0 0 0 0 0 12 5 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 3 0 0 1 0 3 0 0 1 0 0 0 0 0 0 0 0 5 5 0 2 0 0 0 0 0 4 2 0 0 0 1 0 0 0 0 0 0 1 0 7 0 0 2 0 0 0 0 0 1
"Nrxn3" 28 1 4 13 0 2 13 38 1 9 43 2 0 4 0 0 9 0 74 1 0 1 0 1 7 1 26 1 1 1 2 23 7 21 2 13 0 0 25 31 0 1 3 72 0 0 9 21 1 1 2 32 0 11 2 3 10 0 0 3 0 11 28 12 0 27 18 1 0 26 73 0 15 2 7 0 25 0 0 0 15 63 1 0 17 6 0 5 25 2 0 0 23 0 31 0 0 1 0 18 40 0 4 0 7 0 0 1 24 5 70 1 1 0 0 2 14 5 21 22 0 0 11 2 1 83 9 4 2 0 0 0 1 0 4 1 1 42 0 8 1 0 0 13 0 0 2 0 0 9 4 3 1 1 0 35 7 4 14 8 7 1 2 0 0 2 1 32 85 1 11 0 0 6 10 0 5 30 0 0 7 3 15 0 2 1 2 0 38 7 69 0 4 15 0 0 0 0 0 2
"Etl4" 5 0 0 0 0 0 0 12 0 4 4 1 0 2 1 0 0 0 12 0 0 0 0 0 0 1 5 0 0 0 2 3 0 4 0 0 0 0 2 2 0 0 0 17 0 0 9 0 0 1 0 2 0 3 0 0 0 0 0 0 0 6 0 2 0 3 0 0 0 0 4 0 0 0 0 0 2 0 0 0 0 2 1 0 0 0 0 1 3 0 0 0 0 0 1 0 0 0 0 6 1 0 1 0 3 0 0 0 5 1 10 0 0 0 0 0 1 0 3 4 0 0 0 0 0 4 8 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 8 0 0 0 0 0 0 0 3 0 2 0 0 0 0 0 0 4 12 0 0 0 1 0 1 0 2 2 0 0 0 1 0 0 1 1 0 0 4 2 2 0 0 1 0 0 0 0 0 0
"Nrip3" 2 0 1 0 0 6 5 20 0 16 4 10 0 0 0 0 1 0 18 0 0 0 0 0 0 0 27 0 0 0 9 9 0 1 3 12 0 0 25 18 0 0 0 2 0 0 11 0 0 0 6 18 2 0 0 0 0 0 0 0 0 8 0 3 0 16 16 0 2 11 38 0 1 0 4 0 25 0 0 0 7 14 10 0 0 0 0 13 12 0 0 0 18 1 24 0 0 0 0 16 6 0 2 0 10 0 0 0 7 2 22 0 0 0 0 0 0 0 21 6 0 0 0 0 3 29 1 1 3 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 1 2 0 0 17 0 0 3 0 12 36 0 10 0 0 0 0 0 0 4 0 13 11 0 17 0 0 0 0 0 24 5 0 0 42 0 0 0 0 0 1 0 10 1 13 0 0 6 0 0 0 0 0 0
"Reln" 5 0 0 0 0 0 0 2 0 0 4 16 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 0 0 3 44 0 0 0 0 0 0 46 50 0 0 0 1 0 0 60 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12 0 1 0 1 36 0 0 3 3 0 0 0 0 0 2 0 0 0 0 2 5 0 0 0 0 0 0 0 0 0 15 0 69 0 0 0 0 85 1 0 0 0 0 0 0 0 49 0 21 0 1 0 0 0 0 0 0 0 0 0 0 0 0 38 66 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 4 0 0 0 0 0 1 16 0 0 1 1 0 0 0 0 0 0 35 0 0 0 0 5 0 0 0 0 0 0
"Mgll" 0 0 4 4 0 0 2 20 4 22 6 0 7 0 0 2 0 13 14 0 1 1 0 2 3 1 16 3 0 10 8 0 0 0 0 2 15 0 3 10 0 3 0 0 0 0 2 3 1 7 0 12 1 3 6 0 1 2 1 2 0 7 7 23 2 20 10 1 1 0 31 0 2 0 1 0 7 2 0 0 12 19 11 1 4 0 1 3 4 0 4 0 3 0 13 0 6 0 1 8 8 0 1 4 0 2 1 1 4 0 12 1 5 1 0 0 0 1 1 1 0 2 0 0 3 3 5 2 0 5 0 2 0 2 0 0 1 2 1 0 0 0 1 1 1 1 1 2 3 2 19 7 0 3 1 32 3 0 2 0 2 1 0 2 2 3 3 0 12 0 7 0 0 2 0 1 7 4 3 1 1 3 0 0 3 0 2 4 3 2 16 0 0 1 0 0 11 8 0 3
"Kcnc1" 3 0 0 1 1 0 0 12 2 10 4 4 0 1 1 0 0 0 15 0 0 0 0 0 0 1 4 0 2 0 2 1 0 4 1 0 0 0 6 6 0 0 0 8 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 0 0 8 0 17 0 3 2 0 0 1 8 0 1 0 3 0 1 0 0 0 27 11 3 0 1 0 0 3 2 0 0 0 1 0 3 1 0 0 0 7 12 0 0 0 1 0 0 1 3 1 9 1 0 0 0 0 0 0 3 2 0 0 0 0 1 6 13 0 1 0 0 1 1 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 9 0 0 0 1 13 1 0 2 1 0 0 0 0 0 0 0 5 26 0 0 0 0 1 0 0 3 7 0 0 0 0 0 0 1 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0
"Col25a1" 5 0 0 3 0 0 0 0 0 0 13 0 0 0 1 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 5 0 0 13 0 6 0 0 4 6 0 0 1 41 0 0 0 4 0 0 2 0 0 0 0 0 1 0 0 1 0 0 1 3 2 7 0 0 0 12 5 0 2 0 4 0 0 0 0 0 5 29 0 0 3 0 0 6 8 1 0 0 0 1 3 0 0 0 0 1 10 0 0 0 2 0 0 0 2 0 39 0 0 0 0 2 1 0 5 13 0 0 3 0 2 0 0 0 1 0 0 1 0 0 0 2 0 13 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 16 1 0 0 0 3 0 0 0 0 1 0 23 18 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 1 0 1 0 0 2 40 0 0 0 0 0 0 1 0 0
"Trp53i11" 0 0 1 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 4 0 0 0 16 11 0 0 0 0 0 0 0 0 0 0 43 0 1 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 3 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 27 0 0 0 0 0 0 0 0 0
"Abat" 0 0 0 0 0 0 0 13 0 6 10 2 0 0 0 0 0 1 16 0 0 0 0 2 0 0 7 0 0 3 7 4 0 4 0 6 0 0 7 5 1 1 1 36 0 0 2 1 0 1 1 14 0 0 0 0 0 1 0 0 1 2 0 13 4 8 6 0 0 5 30 0 0 0 0 0 4 1 0 0 13 38 0 1 1 1 2 3 9 0 1 0 3 0 10 0 2 0 0 3 14 0 1 0 0 0 0 0 2 1 23 0 0 0 0 0 0 1 0 3 0 1 1 3 0 8 2 0 0 1 0 4 0 1 1 1 0 10 0 0 0 1 0 0 1 0 0 0 0 1 4 2 0 3 0 5 2 0 3 0 0 0 0 0 3 0 1 7 23 0 4 0 0 0 0 0 3 7 0 0 3 0 0 0 0 0 0 5 8 0 25 1 0 0 4 0 1 0 0 4
"Rgs10" 0 3 1 0 0 0 0 5 0 14 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 5 15 1 0 0 0 3 0 3 0 8 0 0 0 5 0 0 0 0 0 0 4 0 3 0 0 8 0 0 0 0 0 0 0 0 0 0 0 7 0 13 3 0 4 2 7 0 0 0 0 0 11 0 0 0 5 42 7 2 0 0 0 0 8 0 0 0 9 0 9 0 0 0 0 6 16 0 0 0 0 0 3 0 0 0 12 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 8 0 18 0 0 0 0 0 0 5 0 0 0 0 1 1 0 0 0 0 0 0 7 4 0 0 0 0 0 0 0 0 0 0 0 0 0 36 0 0 6 0 0 0 0 4 0
"Rgs12" 17 0 0 0 0 0 0 1 0 1 8 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 4 0 1 0 0 0 0 15 11 0 2 0 38 0 0 1 3 0 1 0 4 0 1 0 0 0 0 0 0 0 0 0 1 0 11 0 0 0 24 8 0 0 0 0 0 0 0 0 0 2 10 0 0 0 0 0 0 5 0 0 1 5 0 18 0 0 0 0 1 11 0 0 0 0 0 0 1 6 0 26 0 0 0 0 0 0 0 0 8 0 1 0 0 0 52 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 9 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 4 0 0 0 0 0 0
"Rasgrf2" 1 0 0 1 0 0 0 22 0 15 9 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 1 0 0 0 3 3 0 6 0 1 0 0 3 4 0 0 0 14 0 0 1 0 0 1 0 13 0 0 0 0 0 0 0 0 0 2 0 4 0 8 0 0 0 0 8 0 0 0 0 0 35 0 0 0 0 16 1 0 0 0 0 0 4 0 0 0 7 0 14 0 0 1 0 1 9 0 0 0 0 0 0 0 5 0 11 0 0 0 0 0 0 0 2 1 0 0 0 0 0 4 11 0 1 0 0 0 0 0 1 0 0 5 0 0 0 0 0 0 0 0 1 0 0 0 19 0 0 0 1 3 2 0 0 0 0 0 0 0 0 0 0 10 3 0 2 0 1 0 1 0 7 2 0 0 0 1 0 0 0 0 0 0 5 0 10 0 0 0 0 0 0 0 0 0
"Slc39a6" 3 0 0 0 0 0 0 3 0 1 1 8 0 1 0 0 1 0 3 0 0 0 0 0 0 0 3 0 0 0 4 13 1 0 0 1 0 0 5 0 0 0 0 1 0 0 4 2 0 0 0 3 0 0 0 0 0 0 0 0 0 3 0 6 0 0 1 0 0 1 6 0 2 0 0 0 0 0 1 0 2 4 0 0 0 0 0 2 2 0 0 0 1 0 4 0 0 0 0 5 3 0 0 2 1 0 0 0 6 2 4 0 0 0 0 0 0 0 2 3 0 0 0 0 1 7 4 0 2 0 0 3 0 0 0 0 0 3 0 0 0 0 4 0 0 0 0 0 0 0 4 0 0 2 0 1 6 0 5 1 0 0 0 0 0 1 0 5 9 0 0 0 0 0 1 0 3 0 0 1 3 1 0 3 2 2 1 0 5 1 5 1 1 1 1 0 1 0 0 0
"Rcan2" 13 2 0 0 0 0 0 4 1 13 7 1 0 0 0 0 0 0 23 0 0 0 0 3 0 0 5 2 1 0 2 2 0 7 0 0 0 2 0 3 2 0 0 17 0 0 3 0 0 0 0 12 0 0 0 1 0 0 1 0 0 9 0 11 0 2 2 0 0 10 11 0 0 1 0 1 9 0 0 0 3 17 0 0 0 0 1 0 3 0 0 0 1 0 12 0 1 1 1 6 5 4 0 1 0 0 0 1 2 0 20 0 2 0 0 0 0 0 0 4 0 0 0 1 0 6 7 1 0 0 0 0 0 1 0 0 0 14 0 0 1 0 1 0 0 1 0 0 0 0 9 0 0 3 0 8 0 0 2 0 0 3 0 0 0 0 1 12 25 1 1 0 0 0 0 0 6 4 2 1 0 1 0 1 0 0 0 2 10 0 11 1 0 2 1 2 0 0 0 0
"Gad1" 12 0 0 0 0 0 0 129 0 100 22 12 0 0 0 0 0 0 57 0 0 0 0 0 0 0 41 0 0 0 32 10 0 23 0 11 0 0 42 47 0 0 0 39 0 0 84 0 0 0 0 34 0 0 0 0 0 1 0 0 0 9 0 82 1 13 82 0 0 25 62 0 0 0 0 0 48 0 0 0 27 54 25 0 0 0 0 0 8 0 1 0 13 0 85 0 0 0 1 75 35 0 0 1 0 0 0 0 24 0 51 0 0 0 1 0 0 3 0 15 0 0 0 1 0 34 82 0 0 0 1 0 0 0 0 0 0 15 0 0 0 0 0 1 0 0 0 0 0 0 65 0 0 28 0 76 0 0 0 0 0 0 0 0 0 0 1 24 45 0 37 0 0 0 0 1 30 6 0 0 0 4 0 0 0 0 0 0 26 0 61 0 0 14 0 0 0 0 0 0
"Tac2" 0 0 0 0 1 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 1 0 0 0 0 0 0
